reward_code,subj_id,condition,trial,epoch_trial,epoch_number,LR,onset,session_n,run_n
7.0,811.0,8520.0,0.0,12.0,5.0,76.0,0.59574294090271,9,3
7.0,811.0,8520.0,1.0,13.0,5.0,82.0,9.498457908630371,9,3
7.0,811.0,8520.0,2.0,14.0,5.0,82.0,19.318015098571777,9,3
7.0,811.0,8520.0,3.0,15.0,5.0,82.0,29.982850074768066,9,3
7.0,811.0,8520.0,4.0,16.0,5.0,82.0,37.47843599319458,9,3
7.0,811.0,8520.0,5.0,17.0,5.0,82.0,45.51612496376038,9,3
7.0,811.0,8520.0,6.0,18.0,5.0,82.0,52.266222953796394,9,3
7.0,811.0,8520.0,7.0,19.0,5.0,76.0,58.47678399085999,9,3
7.0,811.0,8520.0,8.0,20.0,5.0,76.0,65.58473300933838,9,3
7.0,811.0,8520.0,9.0,0.0,6.0,82.0,72.43649315834045,9,3
7.0,811.0,8520.0,10.0,1.0,6.0,82.0,78.15926313400267,9,3
7.0,811.0,8520.0,11.0,2.0,6.0,76.0,86.67512297630309,9,3
7.0,811.0,8520.0,12.0,3.0,6.0,76.0,93.09590816497801,9,3
7.0,811.0,8520.0,13.0,4.0,6.0,82.0,99.73598003387451,9,3
7.0,811.0,8520.0,14.0,5.0,6.0,82.0,111.5364511013031,9,3
7.0,811.0,8520.0,15.0,6.0,6.0,76.0,117.77110481262206,9,3
7.0,811.0,8520.0,16.0,7.0,6.0,76.0,126.06788802146913,9,3
7.0,811.0,8520.0,17.0,8.0,6.0,82.0,131.99706411361694,9,3
7.0,811.0,8520.0,18.0,9.0,6.0,76.0,141.5153350830078,9,3
7.0,811.0,8520.0,19.0,10.0,6.0,76.0,150.56331014633176,9,3
7.0,811.0,8520.0,20.0,11.0,6.0,76.0,158.87306380271912,9,3
7.0,811.0,8520.0,21.0,12.0,6.0,82.0,165.99378204345706,9,3
7.0,811.0,8520.0,22.0,13.0,6.0,82.0,177.80226612091064,9,3
7.0,811.0,8520.0,23.0,14.0,6.0,82.0,187.41499209403992,9,3
7.0,811.0,8520.0,24.0,15.0,6.0,76.0,199.58665800094607,9,3
7.0,811.0,8520.0,25.0,16.0,6.0,,,9,3
7.0,811.0,8520.0,26.0,17.0,6.0,82.0,212.66135191917414,9,3
7.0,811.0,8520.0,27.0,18.0,6.0,82.0,219.5743651390075,9,3
7.0,811.0,8520.0,28.0,19.0,6.0,76.0,226.8319451808929,9,3
7.0,811.0,8520.0,29.0,20.0,6.0,82.0,232.5368690490723,9,3
7.0,811.0,8520.0,30.0,21.0,6.0,76.0,239.41360402107236,9,3
7.0,811.0,8520.0,31.0,22.0,6.0,82.0,245.17453622817993,9,3
7.0,811.0,8520.0,32.0,23.0,6.0,82.0,251.4212930202484,9,3
7.0,811.0,8520.0,33.0,0.0,7.0,82.0,258.26100897788996,9,3
7.0,811.0,8520.0,34.0,1.0,7.0,82.0,270.083594083786,9,3
7.0,811.0,8520.0,35.0,2.0,7.0,82.0,280.2063598632813,9,3
7.0,811.0,8520.0,36.0,3.0,7.0,76.0,288.4670739173889,9,3
7.0,811.0,8520.0,37.0,4.0,7.0,82.0,297.90780591964716,9,3
7.0,811.0,8520.0,38.0,5.0,7.0,76.0,305.6966140270233,9,3
7.0,811.0,8520.0,39.0,6.0,7.0,76.0,311.84453701972967,9,3
7.0,811.0,8520.0,40.0,7.0,7.0,82.0,321.4612092971801,9,3
7.0,811.0,8520.0,41.0,8.0,7.0,76.0,327.3269219398499,9,3
7.0,811.0,8520.0,42.0,9.0,7.0,76.0,333.96298003196716,9,3
7.0,811.0,8520.0,43.0,10.0,7.0,76.0,343.49736881256104,9,3
7.0,811.0,8520.0,44.0,11.0,7.0,82.0,354.72587394714355,9,3
7.0,811.0,8520.0,45.0,12.0,7.0,76.0,366.1497302055359,9,3
7.0,811.0,8520.0,46.0,13.0,7.0,76.0,373.7176430225372,9,3
7.0,811.0,8520.0,47.0,14.0,7.0,82.0,379.6603798866272,9,3
7.0,811.0,8520.0,48.0,15.0,7.0,82.0,385.3344070911408,9,3
7.0,811.0,8520.0,49.0,16.0,7.0,76.0,391.6150329113006,9,3
7.0,811.0,8520.0,50.0,17.0,7.0,82.0,400.832937002182,9,3
7.0,811.0,8520.0,51.0,18.0,7.0,76.0,406.66772198677063,9,3
7.0,811.0,8520.0,52.0,19.0,7.0,76.0,414.5375218391418,9,3
7.0,811.0,8520.0,53.0,20.0,7.0,76.0,430.64486503601074,9,3
7.0,811.0,8520.0,54.0,21.0,7.0,82.0,440.8086349964142,9,3
7.0,811.0,8520.0,55.0,22.0,7.0,76.0,449.98361587524414,9,3
7.0,811.0,8520.0,56.0,23.0,7.0,76.0,457.3361439704895,9,3
7.0,811.0,8520.0,57.0,24.0,7.0,82.0,463.2730128765106,9,3
7.0,811.0,8520.0,58.0,25.0,7.0,82.0,469.0239720344544,9,3
7.0,811.0,8520.0,59.0,26.0,7.0,82.0,476.46981692314137,9,3
