trial, subj_id, LR_choice, reward,cumulative_reward, rt, total_trial_time, iti,id_choice, id_solution, id_choice_acc, cum_acc, stim_onset, stim_offset, abs_response_time
0.000000000000000000e+00,8.600000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.010000000000000000e+02,5.921195499977329746e-01,1.500717937989975326e+00,1.270693161484131029e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.982025698700454086e-02,1.516185963992029428e+00,6.419439249875722453e-01
1.000000000000000000e+00,8.600000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.020000000000000000e+02,4.389328720135381445e-01,1.500373618007870391e+00,1.174006368585297500e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.818054612987907603e+00,4.315961680986220017e+00,3.256990153997321613e+00
2.000000000000000000e+00,8.600000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.030000000000000000e+02,6.161878159909974784e-01,1.501331457009655423e+00,1.282854514541976299e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.535389314987696707e+00,7.016218026998103596e+00,6.151578778997645713e+00
3.000000000000000000e+00,8.600000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.040000000000000000e+02,5.773640500119654462e-01,1.501301104013691656e+00,1.064534805181446941e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,8.349300337999011390e+00,9.832581127993762493e+00,8.926662001991644502e+00
4.000000000000000000e+00,8.600000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.050000000000000000e+02,4.839806599920848384e-01,1.500432871005614288e+00,1.414720627430317679e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.094949479500064626e+01,1.243286536198866088e+01,1.143347850898862816e+01
5.000000000000000000e+00,8.600000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.060000000000000000e+02,5.312587019870989025e-01,1.500952597998548299e+00,1.089714865591612236e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.389902299699315336e+01,1.538409297699399758e+01,1.443028246599715203e+01
6.000000000000000000e+00,8.600000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.070000000000000000e+02,5.402911639976082370e-01,1.501307300990447402e+00,1.131929543810958005e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.651597006499650888e+01,1.799967954399471637e+01,1.705626671899517532e+01
7.000000000000000000e+00,8.600000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.080000000000000000e+02,4.542894830083241686e-01,1.500297079997835681e+00,1.014702408131700873e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.918294193899782840e+01,2.066607058599765878e+01,1.963723420699534472e+01
8.000000000000000000e+00,8.600000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.090000000000000000e+02,5.527851849910803139e-01,1.500842342997202650e+00,1.270880956429198960e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.173257765099697281e+01,2.321602257799531799e+01,2.228536569399875589e+01
9.000000000000000000e+00,8.600000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.100000000000000000e+02,4.588038599904393777e-01,1.501040709001244977e+00,1.488301498097845510e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.453264615299121942e+01,2.601612106298853178e+01,2.499145449599018320e+01
1.000000000000000000e+01,8.600000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.110000000000000000e+02,5.659363099985057488e-01,1.500627649991656654e+00,1.266516647641343418e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,2.753622664599970449e+01,2.903276704199379310e+01,2.810216458899958525e+01
1.100000000000000000e+01,8.600000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.120000000000000000e+02,5.312317130010342225e-01,1.500415489004808478e+00,1.209284802673777026e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.034940582199487835e+01,3.183252505899872631e+01,3.088064197699713986e+01
1.200000000000000000e+01,8.600000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.130000000000000000e+02,4.944034859945531934e-01,1.500683489997754805e+00,1.431704491782288313e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.309944312299194280e+01,3.458252327499212697e+01,3.359385072799341287e+01
1.300000000000000000e+01,8.600000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.140000000000000000e+02,4.840563579928129911e-01,1.501369637000607327e+00,1.348883542368839894e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.606587967599625699e+01,3.754975250699499156e+01,3.654994154399901163e+01
1.400000000000000000e+01,8.600000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.150000000000000000e+02,5.430134250054834411e-01,1.501274527996429242e+00,1.049226920877592173e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,3.894967775599798188e+01,4.043250366399297491e+01,3.949269405199447647e+01
1.500000000000000000e+01,8.600000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.160000000000000000e+02,5.518430280062602833e-01,1.501324230994214304e+00,1.462821694980208864e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.153260054498969112e+01,4.301603415199497249e+01,4.208444829199288506e+01
1.600000000000000000e+01,8.600000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.170000000000000000e+02,5.270847690117079765e-01,1.501348056001006626e+00,1.023696339015017998e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.453228980698622763e+01,4.601579635799862444e+01,4.505937784699199256e+01
1.700000000000000000e+01,8.600000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.180000000000000000e+02,6.510296310007106513e-01,1.501331844003289007e+00,1.413748452931269162e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,4.708256876798986923e+01,4.856585312899551354e+01,4.773360053499345668e+01
1.800000000000000000e+01,8.600000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.190000000000000000e+02,5.455493670015130192e-01,1.501307358004851267e+00,1.340783366759801698e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.001597461599158123e+01,5.151558124799339566e+01,5.056152569899859373e+01
1.900000000000000000e+01,8.600000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.200000000000000000e+02,4.467961080081295222e-01,1.501375699997879565e+00,1.258262275951699039e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.289916995099338237e+01,5.438200767298985738e+01,5.334596844999759924e+01
