trial, subj_id, LR_choice, reward,cumulative_reward, rt, total_trial_time, iti,id_choice, id_solution, id_choice_acc, cum_acc, stim_duration, stim_onset, stim_offset, abs_response_time
0.000000000000000000e+00,1.236000000000000000e+03,nan,0.000000000000000000e+00,4.950000000000000000e+02,nan,6.297160619999999653e+00,1.409075935591307172e+00,nan,1.020000000000000000e+02,nan,nan,6.299984112000004188e+00,3.330636900000172318e-02,6.333290481000005911e+00,1.233402341999976670e+00
1.000000000000000000e+00,1.236000000000000000e+03,8.200000000000000000e+01,1.000000000000000000e+00,4.960000000000000000e+02,8.573370970000269153e-01,1.500597018000007665e+00,1.360937337415260018e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,5.000000000000000000e-01,1.499989707999986877e+00,7.799959267000019736e+00,9.299948975000006612e+00,8.657298120000007202e+00
2.000000000000000000e+00,1.236000000000000000e+03,8.200000000000000000e+01,1.000000000000000000e+00,4.970000000000000000e+02,6.537479230000258212e-01,1.500818836999997075e+00,1.342436168635758209e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,6.666666666666666297e-01,1.499988946000030410e+00,1.071661195799998723e+01,1.221660090400001764e+01,1.137036163699997360e+01
3.000000000000000000e+00,1.236000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,4.980000000000000000e+02,4.608063320000042040e-01,1.501015049999978146e+00,1.302761897319135498e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,7.500000000000000000e-01,1.499977793000027759e+00,1.361660805499997196e+01,1.511658584799999971e+01,1.407741642000002003e+01
4.000000000000000000e+00,1.236000000000000000e+03,8.200000000000000000e+01,1.000000000000000000e+00,4.990000000000000000e+02,5.642883040000015171e-01,1.500901944000020194e+00,1.302199516762555520e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.000000000000000444e-01,1.499988166999969508e+00,1.648324567800000295e+01,1.798323384499997246e+01,1.704753595599999016e+01
5.000000000000000000e+00,1.236000000000000000e+03,7.600000000000000000e+01,0.000000000000000000e+00,4.990000000000000000e+02,4.778473339999891323e-01,1.500842257000044810e+00,1.013230843278914106e+00,1.090000000000000000e+02,1.020000000000000000e+02,0.000000000000000000e+00,6.666666666666666297e-01,1.499945110999988174e+00,1.934993409399999109e+01,2.084987920499997927e+01,1.982778356599999370e+01
6.000000000000000000e+00,1.236000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+02,6.701507510000510592e-01,1.500766322999993463e+00,1.408871676305695431e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,7.142857142857143016e-01,1.500013892000026772e+00,2.191655156199999510e+01,2.341656545400002187e+01,2.258670284999999467e+01
7.000000000000000000e+00,1.236000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,5.010000000000000000e+02,6.095152460000008432e-01,1.500880046000020229e+00,1.343884871053325769e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,7.500000000000000000e-01,1.499991559999955371e+00,2.488317950700002257e+01,2.638317106699997794e+01,2.549269635600001038e+01
8.000000000000000000e+00,1.236000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,5.020000000000000000e+02,7.326253730000189535e-01,1.500735160000033375e+00,1.090251490479448471e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,7.777777777777777901e-01,1.499979592999977740e+00,2.778315980000002128e+01,2.928313939299999902e+01,2.851578692800001136e+01
9.000000000000000000e+00,1.236000000000000000e+03,8.200000000000000000e+01,1.000000000000000000e+00,5.030000000000000000e+02,4.947957809999934398e-01,1.500969633000011072e+00,1.295478126278623021e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.000000000000000444e-01,1.499982837999993990e+00,3.043312412500000619e+01,3.193310696300000018e+01,3.092792139400000906e+01
1.000000000000000000e+01,1.236000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,5.040000000000000000e+02,4.368206659999600561e-01,1.500854560999982823e+00,1.404214863857791595e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.181818181818182323e-01,1.499986491000015576e+00,3.328309315600000673e+01,3.478307964700002231e+01,3.371991521600000397e+01
1.100000000000000000e+01,1.236000000000000000e+03,8.200000000000000000e+01,1.000000000000000000e+00,5.050000000000000000e+02,5.983095299999945382e-01,1.500748973999975533e+00,1.231364300277508095e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.333333333333333703e-01,1.499967764000018633e+00,3.624972891099997696e+01,3.774969667499999559e+01,3.684803895900000725e+01
1.200000000000000000e+01,1.236000000000000000e+03,8.200000000000000000e+01,1.000000000000000000e+00,5.060000000000000000e+02,6.789376549999701638e-01,1.500619817999961469e+00,1.335751137430189361e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.461538461538461453e-01,1.499983368000016526e+00,3.903306342299998732e+01,4.053304679100000385e+01,3.971200282900002776e+01
1.300000000000000000e+01,1.236000000000000000e+03,8.200000000000000000e+01,1.000000000000000000e+00,5.070000000000000000e+02,6.940623660000255768e-01,1.500748459999954321e+00,1.398210580501290323e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.571428571428570953e-01,1.499973812000007456e+00,4.193302691799999593e+01,4.343300073000000339e+01,4.262709116299998868e+01
1.400000000000000000e+01,1.236000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,5.080000000000000000e+02,6.805425129999775891e-01,1.500817890999996962e+00,1.001724247312259841e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.666666666666666963e-01,1.499963848999982474e+00,4.489962212000000363e+01,4.639958596899998611e+01,4.558016661400000658e+01
1.500000000000000000e+01,1.236000000000000000e+03,8.200000000000000000e+01,1.000000000000000000e+00,5.090000000000000000e+02,6.599697120000200812e-01,1.500797325999997156e+00,1.401028411581529909e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.750000000000000000e-01,1.499979075999988254e+00,4.746624030700002095e+01,4.896621938300000920e+01,4.812621146300000419e+01
1.600000000000000000e+01,1.236000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,5.100000000000000000e+02,5.093867380000460798e-01,1.500954320999994707e+00,1.115600164090755131e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.823529411764705621e-01,1.499975099999971917e+00,5.043286246100001335e+01,5.193283756099998527e+01,5.094225126999998565e+01
1.700000000000000000e+01,1.236000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,5.110000000000000000e+02,7.211230649999720299e-01,1.500750460999995539e+00,1.436288083606362953e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.888888888888888395e-01,1.500002089000020078e+00,5.311616662799997357e+01,5.461616871699999365e+01,5.383729178200002252e+01
1.800000000000000000e+01,1.236000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,5.120000000000000000e+02,4.772491370000011557e-01,1.501033311000014692e+00,1.192481306607056313e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.947368421052631637e-01,1.499967814000001454e+00,5.611610985800001572e+01,5.761607767200001717e+01,5.659336067999998932e+01
1.900000000000000000e+01,1.236000000000000000e+03,8.200000000000000000e+01,1.000000000000000000e+00,5.130000000000000000e+02,5.083498199999780809e-01,1.500950432999957229e+00,1.170785330269611180e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.000000000000000222e-01,1.499964073000001008e+00,5.886606719999997495e+01,6.036603127299997595e+01,5.937441875600001140e+01
