trial, subj_id, LR_choice, reward,cumulative_reward, rt, total_trial_time, iti,id_choice, id_solution, id_choice_acc, cum_acc, stim_duration, stim_onset, stim_offset, abs_response_time
0.000000000000000000e+00,1.234000000000000000e+03,8.200000000000000000e+01,1.000000000000000000e+00,5.010000000000000000e+02,8.619939079999312526e-01,1.500612046000242117e+00,1.409075935591307172e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.499974616999679711e+00,3.332761599995137658e-02,1.533302232999631087e+00,8.953278959997987840e-01
1.000000000000000000e+00,1.234000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,5.020000000000000000e+02,6.304728029999751016e-01,1.500807763999546296e+00,1.360937337415260018e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.500020241999663995e+00,2.999907622000137053e+00,4.499927863999801048e+00,3.630382072000429616e+00
2.000000000000000000e+00,1.234000000000000000e+03,8.200000000000000000e+01,1.000000000000000000e+00,5.030000000000000000e+02,5.478363940001145238e-01,1.500887800000782590e+00,1.342436168635758209e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.499977796999701241e+00,5.916567096000107995e+00,7.416544892999809235e+00,6.464404952999757370e+00
3.000000000000000000e+00,1.234000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,5.040000000000000000e+02,4.798828230004801298e-01,1.500977747999968415e+00,1.302761897319135498e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.499968140999953903e+00,8.816515184000309091e+00,1.031648332500026299e+01,9.296399900000324124e+00
4.000000000000000000e+00,1.234000000000000000e+03,8.200000000000000000e+01,1.000000000000000000e+00,5.050000000000000000e+02,4.442968259991175728e-01,1.501007679999929678e+00,1.302199516762555520e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.499984857999152155e+00,1.168312251400038804e+01,1.318310737199954019e+01,1.212741991399980179e+01
5.000000000000000000e+00,1.234000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,5.060000000000000000e+02,4.717565420005485066e-01,1.500959489999331709e+00,1.013230843278914106e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.499967808000292280e+00,1.454974884399962320e+01,1.604971665199991548e+01,1.502150694400006614e+01
6.000000000000000000e+00,1.234000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,5.070000000000000000e+02,5.592063040003267815e-01,1.500888796999788610e+00,1.408871676305695431e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.499956915000439039e+00,1.711638334599956579e+01,1.861634026100000483e+01,1.767559116000029462e+01
7.000000000000000000e+00,1.234000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,5.080000000000000000e+02,6.356554029998733313e-01,1.500697243000104208e+00,1.343884871053325769e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.499971158999869658e+00,2.008298503900005016e+01,2.158295619799991982e+01,2.071864201900007174e+01
8.000000000000000000e+00,1.234000000000000000e+03,8.200000000000000000e+01,1.000000000000000000e+00,5.090000000000000000e+02,5.087820340004327591e-01,1.500956311999289028e+00,1.090251490479448471e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.499976398999933735e+00,2.298291664099997433e+01,2.448289303999990807e+01,2.349170029200013232e+01
9.000000000000000000e+00,1.234000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,5.100000000000000000e+02,4.768586989994219039e-01,1.500990571999864187e+00,1.295478126278623021e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.499952887999825180e+00,2.563290578099986305e+01,2.713285866899968823e+01,2.610976643300000433e+01
1.000000000000000000e+01,1.234000000000000000e+03,7.600000000000000000e+01,1.000000000000000000e+00,5.110000000000000000e+02,5.109163200004331884e-01,1.500931853999645682e+00,1.404214863857791595e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,1.499975486999574059e+00,2.848284355600026174e+01,2.998281904299983580e+01,2.899376135500006058e+01
