onset	duration	trial_type	rt	accuracy	epoch_length	epoch_trial	epoch_number
1.602387428283691406e-02	1.499980926513671875e+00	0.000000000000000000e+00	nan	nan	7.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
8.364995956420898438e+00	1.499418020248413086e+00	1.000000000000000000e+00	6.257901191711425781e-01	0.000000000000000000e+00	7.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
1.639726901054382324e+01	1.500072956085205078e+00	2.000000000000000000e+00	nan	nan	7.000000000000000000e+00	2.000000000000000000e+00	0.000000000000000000e+00
2.709564781188964844e+01	1.500250101089477539e+00	3.000000000000000000e+00	6.730201244354248047e-01	1.000000000000000000e+00	7.000000000000000000e+00	3.000000000000000000e+00	0.000000000000000000e+00
3.799401283264160156e+01	1.499423980712890625e+00	4.000000000000000000e+00	6.143469810485839844e-01	1.000000000000000000e+00	7.000000000000000000e+00	4.000000000000000000e+00	0.000000000000000000e+00
4.775967884063720703e+01	1.499356031417846680e+00	5.000000000000000000e+00	nan	nan	7.000000000000000000e+00	5.000000000000000000e+00	0.000000000000000000e+00
5.739171099662780762e+01	1.499454975128173828e+00	6.000000000000000000e+00	7.242290973663330078e-01	1.000000000000000000e+00	7.000000000000000000e+00	6.000000000000000000e+00	0.000000000000000000e+00
6.527347993850708008e+01	1.500071048736572266e+00	7.000000000000000000e+00	6.660690307617187500e-01	0.000000000000000000e+00	1.400000000000000000e+01	0.000000000000000000e+00	1.000000000000000000e+00
7.318848299980163574e+01	1.500085830688476562e+00	8.000000000000000000e+00	nan	nan	1.400000000000000000e+01	1.000000000000000000e+00	1.000000000000000000e+00
8.083794689178466797e+01	1.486669063568115234e+00	9.000000000000000000e+00	nan	nan	1.400000000000000000e+01	2.000000000000000000e+00	1.000000000000000000e+00
9.056982588768005371e+01	1.499983072280883789e+00	1.000000000000000000e+01	6.600661277770996094e-01	1.000000000000000000e+00	1.400000000000000000e+01	3.000000000000000000e+00	1.000000000000000000e+00
9.841890382766723633e+01	1.499377012252807617e+00	1.100000000000000000e+01	nan	nan	1.400000000000000000e+01	4.000000000000000000e+00	1.000000000000000000e+00
1.069682269096374512e+02	1.498910903930664062e+00	1.200000000000000000e+01	6.690440177917480469e-01	1.000000000000000000e+00	1.400000000000000000e+01	5.000000000000000000e+00	1.000000000000000000e+00
1.159992189407348633e+02	1.500720024108886719e+00	1.300000000000000000e+01	nan	nan	1.400000000000000000e+01	6.000000000000000000e+00	1.000000000000000000e+00
1.258651828765869141e+02	1.499750137329101562e+00	1.400000000000000000e+01	6.154959201812744141e-01	0.000000000000000000e+00	1.400000000000000000e+01	7.000000000000000000e+00	1.000000000000000000e+00
1.341964428424835205e+02	1.500046968460083008e+00	1.500000000000000000e+01	7.050099372863769531e-01	1.000000000000000000e+00	1.400000000000000000e+01	8.000000000000000000e+00	1.000000000000000000e+00
1.445123119354248047e+02	1.500274896621704102e+00	1.600000000000000000e+01	6.688809394836425781e-01	1.000000000000000000e+00	1.400000000000000000e+01	9.000000000000000000e+00	1.000000000000000000e+00
1.526952848434448242e+02	1.498793125152587891e+00	1.700000000000000000e+01	6.665840148925781250e-01	1.000000000000000000e+00	1.400000000000000000e+01	1.000000000000000000e+01	1.000000000000000000e+00
1.640090458393096924e+02	1.500235080718994141e+00	1.800000000000000000e+01	7.196321487426757812e-01	1.000000000000000000e+00	1.400000000000000000e+01	1.100000000000000000e+01	1.000000000000000000e+00
1.723586478233337402e+02	1.499042987823486328e+00	1.900000000000000000e+01	6.138899326324462891e-01	1.000000000000000000e+00	1.400000000000000000e+01	1.200000000000000000e+01	1.000000000000000000e+00
1.805068578720092773e+02	1.500826120376586914e+00	2.000000000000000000e+01	nan	nan	1.400000000000000000e+01	1.300000000000000000e+01	1.000000000000000000e+00
1.887719650268554688e+02	1.500717878341674805e+00	2.100000000000000000e+01	6.998651027679443359e-01	1.000000000000000000e+00	1.100000000000000000e+01	0.000000000000000000e+00	2.000000000000000000e+00
1.965046188831329346e+02	1.500472068786621094e+00	2.200000000000000000e+01	nan	nan	1.100000000000000000e+01	1.000000000000000000e+00	2.000000000000000000e+00
2.042869629859924316e+02	1.500340938568115234e+00	2.300000000000000000e+01	7.346220016479492188e-01	1.000000000000000000e+00	1.100000000000000000e+01	2.000000000000000000e+00	2.000000000000000000e+00
2.129190938472747803e+02	1.499500036239624023e+00	2.400000000000000000e+01	nan	nan	1.100000000000000000e+01	3.000000000000000000e+00	2.000000000000000000e+00
2.216681318283081055e+02	1.500276088714599609e+00	2.500000000000000000e+01	nan	nan	1.100000000000000000e+01	4.000000000000000000e+00	2.000000000000000000e+00
