reward_code,subj_id,condition,trial,epoch_trial,epoch_number,LR,onset,session_n,run_n
3.0,811.0,7510.0,0.0,6.0,12.0,76.0,0.4760417938232422,5,3
3.0,811.0,7510.0,1.0,7.0,12.0,76.0,6.804783105850219,5,3
3.0,811.0,7510.0,2.0,8.0,12.0,82.0,14.708575963973999,5,3
3.0,811.0,7510.0,3.0,9.0,12.0,82.0,25.973214149475098,5,3
3.0,811.0,7510.0,4.0,0.0,13.0,76.0,32.34410810470581,5,3
3.0,811.0,7510.0,5.0,1.0,13.0,76.0,40.799705982208245,5,3
3.0,811.0,7510.0,6.0,2.0,13.0,76.0,46.89745020866394,5,3
3.0,811.0,7510.0,7.0,3.0,13.0,76.0,54.74432897567748,5,3
3.0,811.0,7510.0,8.0,4.0,13.0,76.0,66.46406984329222,5,3
3.0,811.0,7510.0,9.0,5.0,13.0,76.0,73.84668707847595,5,3
3.0,811.0,7510.0,10.0,6.0,13.0,76.0,80.03167295455934,5,3
3.0,811.0,7510.0,11.0,7.0,13.0,82.0,86.43740415573119,5,3
3.0,811.0,7510.0,12.0,8.0,13.0,82.0,94.99641489982604,5,3
3.0,811.0,7510.0,13.0,9.0,13.0,82.0,101.71384501457214,5,3
3.0,811.0,7510.0,14.0,10.0,13.0,82.0,108.20964598655699,5,3
3.0,811.0,7510.0,15.0,11.0,13.0,76.0,115.05666303634642,5,3
3.0,811.0,7510.0,16.0,0.0,14.0,76.0,125.3983509540558,5,3
3.0,811.0,7510.0,17.0,1.0,14.0,82.0,134.2179849147797,5,3
3.0,811.0,7510.0,18.0,2.0,14.0,76.0,140.435653924942,5,3
3.0,811.0,7510.0,19.0,3.0,14.0,76.0,146.70159888267514,5,3
3.0,811.0,7510.0,20.0,4.0,14.0,76.0,157.03637123107907,5,3
3.0,811.0,7510.0,21.0,5.0,14.0,82.0,162.70408916473386,5,3
3.0,811.0,7510.0,22.0,6.0,14.0,82.0,168.32703089714047,5,3
3.0,811.0,7510.0,23.0,7.0,14.0,76.0,178.08475494384766,5,3
3.0,811.0,7510.0,24.0,8.0,14.0,82.0,184.58238196372986,5,3
3.0,811.0,7510.0,25.0,9.0,14.0,76.0,190.99926209449768,5,3
3.0,811.0,7510.0,26.0,0.0,15.0,82.0,198.3152391910553,5,3
3.0,811.0,7510.0,27.0,1.0,15.0,82.0,205.43578720092773,5,3
3.0,811.0,7510.0,28.0,2.0,15.0,82.0,213.76365590095514,5,3
3.0,811.0,7510.0,29.0,3.0,15.0,82.0,219.95729517936707,5,3
3.0,811.0,7510.0,30.0,4.0,15.0,82.0,226.3332140445709,5,3
3.0,811.0,7510.0,31.0,5.0,15.0,82.0,237.18492913246155,5,3
3.0,811.0,7510.0,32.0,6.0,15.0,76.0,246.74108910560602,5,3
3.0,811.0,7510.0,33.0,7.0,15.0,82.0,253.54473400115964,5,3
3.0,811.0,7510.0,34.0,8.0,15.0,76.0,259.3662159442901,5,3
3.0,811.0,7510.0,35.0,0.0,16.0,76.0,265.68707299232483,5,3
3.0,811.0,7510.0,36.0,1.0,16.0,82.0,274.8459131717682,5,3
3.0,811.0,7510.0,37.0,2.0,16.0,82.0,286.12644100189215,5,3
3.0,811.0,7510.0,38.0,3.0,16.0,76.0,300.5511238574981,5,3
3.0,811.0,7510.0,39.0,4.0,16.0,82.0,308.439876794815,5,3
3.0,811.0,7510.0,40.0,5.0,16.0,76.0,314.1074800491333,5,3
3.0,811.0,7510.0,41.0,6.0,16.0,82.0,321.2673978805542,5,3
3.0,811.0,7510.0,42.0,7.0,16.0,76.0,330.17604994773865,5,3
3.0,811.0,7510.0,43.0,8.0,16.0,82.0,336.6349790096283,5,3
3.0,811.0,7510.0,44.0,0.0,17.0,76.0,343.49113297462463,5,3
3.0,811.0,7510.0,45.0,1.0,17.0,76.0,349.3334639072418,5,3
3.0,811.0,7510.0,46.0,2.0,17.0,76.0,355.0072317123413,5,3
3.0,811.0,7510.0,47.0,3.0,17.0,76.0,369.4350650310516,5,3
3.0,811.0,7510.0,48.0,4.0,17.0,76.0,375.98871994018555,5,3
3.0,811.0,7510.0,49.0,5.0,17.0,82.0,382.19848108291626,5,3
3.0,811.0,7510.0,50.0,6.0,17.0,76.0,397.89320898056025,5,3
3.0,811.0,7510.0,51.0,7.0,17.0,82.0,408.53988218307495,5,3
3.0,811.0,7510.0,52.0,8.0,17.0,82.0,416.63062906265253,5,3
3.0,811.0,7510.0,53.0,9.0,17.0,82.0,424.97729992866505,5,3
3.0,811.0,7510.0,54.0,10.0,17.0,82.0,434.53680181503296,5,3
3.0,811.0,7510.0,55.0,11.0,17.0,82.0,440.42373299598694,5,3
3.0,811.0,7510.0,56.0,12.0,17.0,76.0,450.2403888702392,5,3
3.0,811.0,7510.0,57.0,13.0,17.0,76.0,457.44742798805237,5,3
3.0,811.0,7510.0,58.0,14.0,17.0,82.0,469.0759410858154,5,3
3.0,811.0,7510.0,59.0,0.0,18.0,82.0,475.58581781387323,5,3
