reward_code,subj_id,condition,trial,epoch_trial,epoch_number,LR,button_press_onset,stim_onset,session_n,run_n
8.0,860.0,8530.0,0.0,2.0,2.0,,,0.015753984451293945,2,2
8.0,860.0,8530.0,1.0,3.0,2.0,82.0,8.233991861343384,7.567181825637817,2,2
8.0,860.0,8530.0,2.0,4.0,2.0,82.0,17.0709867477417,16.689217805862427,2,2
8.0,860.0,8530.0,3.0,5.0,2.0,76.0,26.02080678939819,25.5129919052124,2,2
8.0,860.0,8530.0,4.0,6.0,2.0,82.0,34.54550075531006,34.05355787277222,2,2
8.0,860.0,8530.0,5.0,7.0,2.0,76.0,41.46718764305115,40.95188879966736,2,2
8.0,860.0,8530.0,6.0,8.0,2.0,82.0,49.59487295150756,49.151233911514275,2,2
8.0,860.0,8530.0,7.0,9.0,2.0,76.0,56.795921802520745,56.39113879203796,2,2
8.0,860.0,8530.0,8.0,10.0,2.0,82.0,62.57862877845764,62.05769681930542,2,2
8.0,860.0,8530.0,9.0,11.0,2.0,82.0,68.80140995979309,68.33976197242737,2,2
8.0,860.0,8530.0,10.0,12.0,2.0,76.0,75.4733428955078,74.92160391807555,2,2
8.0,860.0,8530.0,11.0,13.0,2.0,82.0,86.13774681091309,85.58760786056519,2,2
8.0,860.0,8530.0,12.0,14.0,2.0,76.0,97.44779300689699,96.88521194458009,2,2
8.0,860.0,8530.0,13.0,15.0,2.0,,,102.89251589775085,2,2
8.0,860.0,8530.0,14.0,16.0,2.0,82.0,110.08108782768251,109.44199085235597,2,2
8.0,860.0,8530.0,15.0,17.0,2.0,,,115.30759286880492,2,2
8.0,860.0,8530.0,16.0,18.0,2.0,82.0,122.11666107177736,121.51524496078493,2,2
8.0,860.0,8530.0,17.0,19.0,2.0,82.0,130.5994818210602,130.09690284729007,2,2
8.0,860.0,8530.0,18.0,20.0,2.0,82.0,137.26534199714658,136.7294449806213,2,2
8.0,860.0,8530.0,19.0,21.0,2.0,82.0,149.68515992164612,149.15235590934753,2,2
8.0,860.0,8530.0,20.0,22.0,2.0,82.0,156.61769199371338,156.0103349685669,2,2
8.0,860.0,8530.0,21.0,23.0,2.0,76.0,163.1675100326538,162.53521990776062,2,2
8.0,860.0,8530.0,22.0,24.0,2.0,82.0,172.3822717666626,171.9251937866211,2,2
8.0,860.0,8530.0,23.0,0.0,3.0,82.0,178.12318181991574,177.6656708717346,2,2
8.0,860.0,8530.0,24.0,1.0,3.0,76.0,185.25524377822873,184.72315382957456,2,2
8.0,860.0,8530.0,25.0,2.0,3.0,76.0,193.21283078193662,192.63808584213254,2,2
8.0,860.0,8530.0,26.0,3.0,3.0,82.0,203.78333377838135,203.2785189151764,2,2
8.0,860.0,8530.0,27.0,4.0,3.0,82.0,209.96932697296143,209.26125693321228,2,2
8.0,860.0,8530.0,28.0,5.0,3.0,76.0,221.38003206253055,220.80081295967105,2,2
8.0,860.0,8530.0,29.0,6.0,3.0,82.0,231.30663275718692,230.75772881507876,2,2
8.0,860.0,8530.0,30.0,7.0,3.0,82.0,238.89132905006412,238.37355089187625,2,2
8.0,860.0,8530.0,31.0,8.0,3.0,82.0,247.0621507167816,246.522008895874,2,2
8.0,860.0,8530.0,32.0,9.0,3.0,82.0,260.6056890487671,260.07047390937805,2,2
8.0,860.0,8530.0,33.0,10.0,3.0,76.0,270.16655373573303,269.4693977832794,2,2
8.0,860.0,8530.0,34.0,11.0,3.0,82.0,279.0481798648834,278.49223589897156,2,2
8.0,860.0,8530.0,35.0,12.0,3.0,76.0,286.56698179244995,286.04984879493713,2,2
8.0,860.0,8530.0,36.0,13.0,3.0,82.0,296.57565879821783,296.0645668506623,2,2
8.0,860.0,8530.0,37.0,14.0,3.0,76.0,302.834538936615,302.1150028705597,2,2
8.0,860.0,8530.0,38.0,15.0,3.0,82.0,319.8138279914856,319.27810978889465,2,2
8.0,860.0,8530.0,39.0,16.0,3.0,82.0,325.64282584190363,325.09399986267084,2,2
8.0,860.0,8530.0,40.0,17.0,3.0,76.0,331.9285457134247,331.4014618396759,2,2
8.0,860.0,8530.0,41.0,18.0,3.0,82.0,345.25926589965826,344.7409238815308,2,2
8.0,860.0,8530.0,42.0,19.0,3.0,76.0,351.7140197753906,351.040296792984,2,2
8.0,860.0,8530.0,43.0,20.0,3.0,82.0,357.51282072067255,356.9149928092956,2,2
8.0,860.0,8530.0,44.0,21.0,3.0,82.0,369.3155169486999,368.76255488395685,2,2
