reward_code,subj_id,condition,trial,epoch_trial,epoch_number,LR,button_press_onset,stim_onset,session_n,run_n
3.0,790.0,7510.0,0.0,0.0,33.0,82.0,0.28137898445129395,0.01663589477539062,3,5
3.0,790.0,7510.0,1.0,1.0,33.0,76.0,8.210275173187256,7.781392097473145,3,5
3.0,790.0,7510.0,2.0,2.0,33.0,76.0,18.697893857955933,18.09675693511963,3,5
3.0,790.0,7510.0,3.0,3.0,33.0,82.0,26.706781148910522,26.23013210296631,3,5
3.0,790.0,7510.0,4.0,4.0,33.0,82.0,37.86540913581848,37.37853002548218,3,5
3.0,790.0,7510.0,5.0,5.0,33.0,82.0,46.992406129837036,46.31027412414551,3,5
3.0,790.0,7510.0,6.0,6.0,33.0,76.0,56.54013204574585,56.05938506126404,3,5
3.0,790.0,7510.0,7.0,7.0,33.0,82.0,64.73474407196045,64.24053907394409,3,5
3.0,790.0,7510.0,8.0,8.0,33.0,82.0,74.00944685935973,73.48959398269652,3,5
3.0,790.0,7510.0,9.0,9.0,33.0,76.0,81.84541487693787,81.33929705619812,3,5
3.0,790.0,7510.0,10.0,10.0,33.0,82.0,89.48930501937865,89.0207049846649,3,5
3.0,790.0,7510.0,11.0,11.0,33.0,82.0,97.19109296798705,96.687038898468,3,5
3.0,790.0,7510.0,12.0,0.0,34.0,76.0,104.9919068813324,104.46873903274536,3,5
3.0,790.0,7510.0,13.0,1.0,34.0,76.0,113.0065541267395,112.35164999961853,3,5
3.0,790.0,7510.0,14.0,2.0,34.0,76.0,123.57437109947202,123.04992103576657,3,5
3.0,790.0,7510.0,15.0,3.0,34.0,82.0,132.163104057312,131.69822597503662,3,5
3.0,790.0,7510.0,16.0,4.0,34.0,76.0,139.94202423095703,139.34739303588867,3,5
3.0,790.0,7510.0,17.0,5.0,34.0,82.0,149.14851808547974,148.71209502220154,3,5
3.0,790.0,7510.0,18.0,6.0,34.0,82.0,157.2644500732422,156.62792801856995,3,5
3.0,790.0,7510.0,19.0,0.0,35.0,82.0,165.40319418907163,164.9263250827789,3,5
3.0,790.0,7510.0,20.0,1.0,35.0,76.0,174.05675983428955,173.47582292556763,3,5
3.0,790.0,7510.0,21.0,2.0,35.0,76.0,181.72584891319272,181.20809793472287,3,5
3.0,790.0,7510.0,22.0,3.0,35.0,82.0,191.19557309150693,190.7074871063232,3,5
3.0,790.0,7510.0,23.0,4.0,35.0,82.0,201.07518792152402,200.5553500652313,3,5
3.0,790.0,7510.0,24.0,5.0,35.0,82.0,209.38304615020752,208.90456104278564,3,5
3.0,790.0,7510.0,25.0,6.0,35.0,76.0,217.62466406822202,217.05377411842343,3,5
3.0,790.0,7510.0,26.0,7.0,35.0,76.0,226.38249897956842,225.80196404457087,3,5
3.0,790.0,7510.0,27.0,8.0,35.0,76.0,234.7163879871368,234.16676092147824,3,5
3.0,790.0,7510.0,28.0,0.0,36.0,76.0,242.53511500358582,241.9670820236206,3,5
