reward_code,subj_id,condition,trial,epoch_trial,epoch_number,button_press,LR_solution,LR,reward,p_accuracy,rt,trial_end,iti_length,iti_end,stim_onset,session_n,run_n
4.0,813.0,7520.0,0.0,16.0,11.0,0.4881720542907715,82.0,76.0,0.0,0.0,0.4764149188995361,1.5124850273132324,6.830602832,8.343087859313233,0.01174306869506836,8,4
4.0,813.0,7520.0,1.0,17.0,11.0,8.823915004730225,76.0,76.0,0.0,1.0,0.4626030921936035,9.86123514175415,6.510286276,16.371521417754153,8.361341953277588,8,4
4.0,813.0,7520.0,2.0,18.0,11.0,16.83273196220398,82.0,76.0,0.0,0.0,0.439744234085083,17.893177032470703,9.176654879,27.069831911470704,16.392977952957153,8,4
4.0,813.0,7520.0,3.0,19.0,11.0,27.51016592979431,76.0,82.0,0.0,0.0,0.4181861877441406,28.579590082168576,9.379149067,37.95873914916858,27.091972112655643,8,4
4.0,813.0,7520.0,4.0,20.0,11.0,38.49585509300232,76.0,76.0,3.0,1.0,0.5057430267333984,39.4772469997406,8.249659814999998,47.7269068147406,37.99010610580444,8,4
4.0,813.0,7520.0,5.0,21.0,11.0,48.31555604934692,76.0,82.0,0.0,0.0,0.5600268840789795,49.254944086074815,8.106125763999998,57.36106985007481,47.75552105903625,8,4
4.0,813.0,7520.0,6.0,22.0,11.0,57.835495948791504,82.0,82.0,3.0,1.0,0.44839906692504883,58.875782012939446,6.351721296999999,65.22750330993945,57.387094020843506,8,4
4.0,813.0,7520.0,7.0,0.0,12.0,65.94309592247009,76.0,76.0,3.0,1.0,0.6906139850616456,66.74066209793091,6.394658274,73.1353203719309,65.2524790763855,8,4
4.0,813.0,7520.0,8.0,1.0,12.0,73.63392806053162,76.0,76.0,2.0,1.0,0.4822230339050292,74.65089106559755,6.118962944999999,80.76985401059754,73.15170192718504,8,4
4.0,813.0,7520.0,9.0,2.0,12.0,81.18272113800049,82.0,82.0,2.0,1.0,0.3818140029907226,82.28874111175539,8.225208136,90.51394924775539,80.80090594291687,8,4
4.0,813.0,7520.0,10.0,3.0,12.0,91.00313210487363,76.0,76.0,2.0,1.0,0.4706771373748779,92.03279304504395,6.317521856,98.35031490104394,90.53244614601137,8,4
4.0,813.0,7520.0,11.0,4.0,12.0,98.84313511848448,76.0,76.0,3.0,1.0,0.4610531330108643,99.86899209022522,7.028919837999999,106.89791192822521,98.38207292556761,8,4
4.0,813.0,7520.0,12.0,5.0,12.0,107.36870098114012,82.0,82.0,3.0,1.0,0.4546189308166504,108.41408014297485,7.501984415,115.91606455797485,106.91407799720766,8,4
4.0,813.0,7520.0,13.0,6.0,12.0,116.41147994995119,82.0,82.0,4.0,1.0,0.4664399623870849,117.4336440563202,8.342266416000001,125.7759104723202,115.94503808021545,8,4
4.0,813.0,7520.0,14.0,7.0,12.0,126.24221801757811,76.0,76.0,1.0,1.0,0.44806599617004406,127.29469799995422,6.807756658,134.1024546579542,125.79415011405946,8,4
4.0,813.0,7520.0,15.0,8.0,12.0,134.59995698928833,82.0,76.0,1.0,0.0,0.4737648963928224,135.62616205215454,8.796708647,144.42287069915454,134.12618494033813,8,4
4.0,813.0,7520.0,16.0,9.0,12.0,144.82455801963803,82.0,82.0,0.0,1.0,0.3831470012664794,145.9411289691925,6.660214379000001,152.6013433481925,144.4414069652557,8,4
4.0,813.0,7520.0,17.0,10.0,12.0,153.08320808410645,82.0,82.0,1.0,1.0,0.4600019454956055,154.11173605918884,9.794354736,163.90609079518885,152.62320399284363,8,4
4.0,813.0,7520.0,18.0,11.0,12.0,164.6489539146423,82.0,82.0,2.0,1.0,0.727092981338501,165.42114996910095,6.830287768,172.25143773710096,163.92185711860657,8,4
4.0,813.0,7520.0,19.0,12.0,12.0,172.69874000549314,82.0,82.0,3.0,1.0,0.4279069900512695,173.77152609825131,6.629621234,180.40114733225133,172.27082514762878,8,4
4.0,813.0,7520.0,20.0,13.0,12.0,180.86036300659174,82.0,82.0,1.0,1.0,0.4408600330352784,181.91926312446594,6.737836668999999,188.65709979346593,180.41949605941764,8,4
4.0,813.0,7520.0,21.0,14.0,12.0,189.14207911491394,82.0,82.0,1.0,1.0,0.4565300941467284,190.1845121383667,6.214641238,196.3991533763667,188.68554592132568,8,4
4.0,813.0,7520.0,22.0,15.0,12.0,196.91294002532962,76.0,76.0,0.0,1.0,0.495621919631958,197.91693210601807,6.253368926,204.17030103201807,196.41730904579163,8,4
