reward_code,subj_id,condition,trial,epoch_trial,epoch_number,button_press,LR_solution,LR,reward,p_accuracy,rt,trial_end,iti_length,iti_end,stim_onset,session_n,run_n
2.0,790.0,6530.0,0.0,10.0,8.0,0.3459360599517822,76.0,82.0,5.0,0.0,0.3276150226593017,1.5160360336303709,8.7780430033,10.294079036930372,0.018313169479370117,8,4
2.0,790.0,6530.0,1.0,11.0,8.0,10.869716167449951,76.0,82.0,0.0,0.0,0.5535368919372559,11.814773082733154,6.8306028319,18.645375914633156,10.316171169281004,8,4
2.0,790.0,6530.0,2.0,12.0,8.0,19.252355098724365,82.0,76.0,3.0,0.0,0.5864770412445068,20.16378116607666,9.2971715128,29.46095267887666,18.66587710380554,8,4
2.0,790.0,6530.0,3.0,13.0,8.0,30.03701400756836,76.0,82.0,0.0,0.0,0.5398910045623779,30.99495100975037,8.796708646499999,39.79165965625037,29.49711513519287,8,4
2.0,790.0,6530.0,4.0,14.0,8.0,40.40061616897583,82.0,82.0,0.0,1.0,0.5881168842315674,41.31031608581543,6.996471843800001,48.30678792961543,39.81249213218689,8,4
2.0,790.0,6530.0,5.0,15.0,8.0,48.846301078796394,76.0,82.0,0.0,0.0,0.5179541110992432,49.825767993927,8.4826235838,58.308391577727,48.328345060348504,8,4
2.0,790.0,6530.0,6.0,16.0,8.0,58.92697811126708,76.0,76.0,0.0,1.0,0.5838291645050049,59.84090900421143,7.9748496299,67.81575863411143,58.343142032623284,8,4
2.0,790.0,6530.0,7.0,17.0,8.0,68.45576119422913,82.0,76.0,3.0,0.0,0.6140220165252686,69.33972001075745,6.5102862759,75.85000628665745,67.84173607826233,8,4
2.0,790.0,6530.0,8.0,18.0,8.0,76.55630207061766,82.0,76.0,5.0,0.0,0.68204402923584,77.37214612960814,6.1189629448,83.49110907440814,75.8742480278015,8,4
2.0,790.0,6530.0,9.0,19.0,8.0,84.20730113983154,82.0,76.0,0.0,0.0,0.6838979721069336,85.02080702781677,7.186002986699999,92.20681001451678,83.52339601516724,8,4
2.0,790.0,6530.0,10.0,20.0,8.0,92.83188605308531,82.0,82.0,0.0,1.0,0.593379020690918,93.73681998252867,6.5996902655,100.33651024802867,92.23850607872008,8,4
2.0,790.0,6530.0,11.0,21.0,8.0,100.92481398582457,76.0,76.0,5.0,1.0,0.555034875869751,101.86822605133057,8.335805110399999,110.20403116173057,100.36977314949037,8,4
2.0,790.0,6530.0,12.0,22.0,8.0,110.80014705657959,76.0,76.0,0.0,1.0,0.5644748210906982,111.73317098617551,6.6296212335,118.36279221967551,110.2356641292572,8,4
