subject,session,date,timestamp,tsnr,fwhm_avg,dvars_nstd,fd_mean,gcor,snr
756,ses-01,2019-07-01,1562000246.0,30.162994384765625,3.3140199999999997,51.69886525383333,0.24050952639392287,0.0034327,3.833753735936977
756,ses-01,2019-07-01,1562000406.0,25.028099060058594,3.774335,49.179923604586186,0.15907847363840533,0.00203526,3.2847468412393934
756,ses-01,2019-07-01,1562001086.0,24.186046600341797,3.78041,50.32319935258427,0.15368842835244745,0.00251062,3.2527476916453737
756,ses-01,2019-07-01,1562001766.0,35.641021728515625,2.4938483844893207,36.21949025457216,0.13429785132398797,0.00668458,7.226668683337395
756,ses-01,2019-07-01,1562002366.0,35.54967498779297,2.5031183849739063,37.98084676368866,0.13455350181649278,0.00531532,7.1742415192203515
19.08.01-15:19:58-DST-1.3.12.2.1107.5.2.43.166114,ses-01,2019-08-01,1564687416.0,118.173828125,5.019571666666667,11.269758107937573,0.02587645885044679,0.157261,9.421758260325424
790,ses-02,2019-08-13,1565724085.0,,,,,,
790,ses-02,2019-08-13,1565724085.0,,,,,,
790,ses-02,2019-08-13,1565724085.0,,,,,,
790,ses-02,2019-08-13,1565723565.0,46.492794036865234,2.47011,35.33134076110054,0.09555386658669339,0.00723672,5.49834120828541
790,ses-02,2019-08-13,1565724750.0,,,,,,
790,ses-02,2019-08-13,1565724750.0,,,,,,
790,ses-02,2019-08-13,1565724750.0,,,,,,
790,ses-02,2019-08-13,1565724236.0,47.25127029418945,2.4771216666666667,36.03456178489795,0.09469088604493778,0.00739515,5.370169122891343
790,ses-02,2019-08-13,1565725433.0,,,,,,
790,ses-02,2019-08-13,1565725433.0,,,,,,
790,ses-02,2019-08-13,1565725433.0,,,,,,
790,ses-02,2019-08-13,1565724926.0,45.254234313964844,2.47704,36.48873999315219,0.0900668937659023,0.00622375,5.37222616154867
790,ses-02,2019-08-13,1565726076.0,,,,,,
790,ses-02,2019-08-13,1565726076.0,,,,,,
790,ses-02,2019-08-13,1565726076.0,,,,,,
790,ses-02,2019-08-13,1565725565.0,46.933013916015625,2.46955,36.592591236130794,0.0921227609030233,0.00700504,5.3721037012460355
790,ses-02,2019-08-13,1565726709.0,,,,,,
790,ses-02,2019-08-13,1565726709.0,,,,,,
790,ses-02,2019-08-13,1565726709.0,,,,,,
790,ses-02,2019-08-13,1565726196.0,46.445106506347656,2.4528766666666666,36.4408406887211,0.09453184299703843,0.00585307,5.392551318748259
790,ses-02,2020-02-06,1581005955.0,46.277076721191406,2.4749633333333336,35.35416721884671,0.09485204329310357,0.0074456,5.450621471413556
790,ses-03,2019-08-16,1565978893.0,48.173770904541016,2.504315,34.136800967829,0.12871742322939494,0.0115536,6.395927013526044
790,ses-03,2019-08-16,1565979513.0,47.510589599609375,2.4752566666666667,33.52102226085482,0.12010559748493546,0.00692902,6.412784833853684
790,ses-03,2019-08-16,1565980153.0,47.73017883300781,2.4905266666666668,33.27248495402983,0.11257060070460874,0.0070266,6.310842215293766
790,ses-03,2019-08-16,1565980813.0,48.71721267700195,2.47758,32.794103844993224,0.11586267219187282,0.00699109,6.319061963366821
790,ses-03,2019-08-16,1565981473.0,46.719547271728516,2.4827783333333335,32.096073103858686,0.11349283401905011,0.00670864,6.313140294417319
790,ses-04,2019-08-30,1567181666.0,42.887821197509766,2.481481666666667,34.08096659229306,0.14187607695782728,0.0101436,6.178852741782538
790,ses-04,2019-08-30,1567182288.0,45.98936462402344,2.4749199999999996,33.20713580998646,0.13080124625937986,0.00629108,6.092953833062281
790,ses-04,2019-08-30,1567182928.0,45.63718032836914,2.472705,32.638149417024465,0.12949889392546876,0.00586693,6.15940520291184
790,ses-04,2019-08-30,1567183546.0,46.520225524902344,2.4679283333333335,32.75077752293077,0.13085457966316064,0.00719915,6.049435271034258
790,ses-04,2019-08-30,1567184168.0,46.339996337890625,2.4827966666666668,32.57709925009498,0.12012460172450445,0.00717304,6.117833554489275
790,ses-05,2019-09-03,1567538371.0,41.49104309082031,2.497355,33.053420412211686,0.14168816536199277,0.00483125,6.402835512957957
790,ses-05,2019-09-03,1567538991.0,40.648948669433594,2.51422,33.41035613014945,0.14302614650501735,0.0038976,6.179956316104089
790,ses-05,2019-09-03,1567539607.0,46.12413024902344,2.5240416666666667,34.52217080303936,0.12351365001265609,0.00575361,6.227528599205379
790,ses-05,2019-09-03,1567540271.0,46.29051971435547,2.5243033333333336,34.82163047279513,0.12200404394387945,0.0052729,6.2443089291964595
790,ses-05,2019-09-03,1567540891.0,47.9964485168457,2.5218899999999995,36.87248718161016,0.12927860491968207,0.00607354,6.185915976900437
790,ses-05,2019-09-03,1567540891.0,46.54694366455078,2.5118733333333334,35.95517784283582,0.13048615028072186,0.00568951,6.1838169313204565
790,ses-06,2019-09-06,1567785128.0,46.66627502441406,2.536216666666667,34.8547470658209,0.1101608744229145,0.00911301,6.074503648781796
790,ses-06,2019-09-06,1567785748.0,48.52466583251953,2.53637,35.000760237571235,0.09736871273813501,0.00816467,6.011663254558574
790,ses-06,2019-09-06,1567786428.0,49.40443801879883,2.53476,35.1324274227137,0.10035653263512702,0.00728175,6.029086139945751
790,ses-06,2019-09-06,1567787088.0,46.855560302734375,2.531086666666667,35.689812700583495,0.10789728279946884,0.00859411,5.9844272177599045
790,ses-06,2019-09-06,1567787708.0,45.88945007324219,2.553551666666667,35.428394947432096,0.11183740163997831,0.00700257,5.908599578043872
790,ses-07,2019-09-10,1568145338.0,41.855350494384766,2.5305633333333333,35.192794800263144,0.17510662201337202,0.0128478,6.240261422590882
