Pu,Ca,NAC,sample_n,tr,pooled_striatum
-0.414781,-0.1262258,-1.0427893,86,64.5,-1.5837961
-1.502976,-0.83956504,-1.8774475,87,65.25,-4.2199883
-1.6851804,-1.4530925,-1.8854458,88,66.0,-5.023719
-1.3360844,-1.116413,-1.0937754,89,66.75,-3.5462728
-0.23491563,-0.8522271,-0.87750447,90,67.5,-1.9646472
-0.5819717,-0.7885924,-1.2279605,91,68.25,-2.5985246
0.32388276,-0.16490753,-1.9564435,92,69.0,-1.7974683
1.1849138,0.21434964,-1.5189695,93,69.75,-0.119706154
1.1747686,0.469816,-1.3511518,94,70.5,0.2934327
0.32361078,0.74893665,-1.3749589,95,71.25,-0.30241144
1.4593492,1.8639351,-1.5858661,96,72.0,1.737418
1.6029586,2.1168041,-1.1992917,97,72.75,2.520471
1.143218,2.2231092,-1.8684375,98,73.5,1.4978898
1.1127826,2.3172164,-0.71088654,99,74.25,2.7191124
1.3874629,1.8996948,-1.6073755,100,75.0,1.679782
1.4217061,1.9531721,-1.897318,101,75.75,1.4775602
0.33982122,1.331899,-2.087202,102,76.5,-0.4154818
-0.19050007,1.3863039,-1.9685509,103,77.25,-0.77274704
0.33223277,0.915166,-1.3007147,104,78.0,-0.053315878
-1.0000437,-0.22209525,-1.2305169,105,78.75,-2.4526558
-1.4859495,0.00623824,-1.5829647,106,79.5,-3.062676
-0.07504136,-0.33187902,-1.8525348,107,80.25,-2.2594552
-0.024968456,0.3854954,-1.3108774,108,81.0,-0.9503505
-0.49031192,-0.65654576,-0.7042996,109,81.75,-1.8511574
-0.17437121,-0.3545593,-1.2005541,110,82.5,-1.7294847
1.2392569,0.38085732,-1.4634746,111,83.25,0.15663958
0.50763756,0.42927903,-1.68605,112,84.0,-0.74913347
0.08709041,0.75408494,-1.8109509,113,84.75,-0.9697755
1.3170997,0.8019501,-1.1440399,114,85.5,0.9750099
1.5339282,0.7195311,-1.2198915,115,86.25,1.0335677
1.3488678,0.714522,-0.45150265,116,87.0,1.6118871
0.5135125,1.3559707,-1.5173776,117,87.75,0.35210562
0.9604152,1.6059178,-1.3832395,118,88.5,1.1830935
0.6476839,1.4237334,-0.69706184,119,89.25,1.3743556
-0.08371776,0.9148877,-1.7900609,120,90.0,-0.9588909
-0.2506909,0.62542415,-1.0448595,121,90.75,-0.6701263
-0.46153566,0.2582724,-1.9469944,122,91.5,-2.1502576
-0.78479284,-0.07975207,-0.75354475,123,92.25,-1.6180897
-1.120779,-0.21680783,-1.6032509,124,93.0,-2.9408379
0.43719277,-0.7333063,-1.8087238,125,93.75,-2.1048374
-0.6095241,-0.72212845,-1.1417423,126,94.5,-2.4733949
-0.6435497,-0.5398049,-1.8319663,127,95.25,-3.0153208
0.8371232,-0.33206454,-1.4486305,128,96.0,-0.9435718
0.9715395,0.6520932,-0.010460672,129,96.75,1.613172
