cpp,b_t0,b_t1,MC,H,signed_B_diff,ideal_B,lambda_val,p_optimal,trial,subj_id,reward_code,condition,run_n,LR_choice,value_accuracy,value_LR_solution,reward,cumulative_reward,rt,total_trial_time,iti,cp_list,obs_cp_list,high_val_cue,high_p_cue,p_accuracy,p_LR_solution,p_id_solution,id_choice,stim_duration,stim_onset,stim_offset,abs_response_time,epoch_length,epoch_trial,epoch_number,shifted_epoch_trial_run,shifted_epoch_trial
0.057114797191041136,0.0,0.0,0.5,0.08333333333333333,0.0,0.0,10.0,0.65,0,790,0,6510,1,82.0,1.0,82.0,2.0,32.0,0.232111930847168,1.501002073287964,6.8306028319,1.0,0.0,102.0,102.0,1.0,82.0,102.0,102.0,1.499650001525879,0.015908002853393555,1.5155580043792722,0.24802708625793454,8.0,0.0,0.0,0.0,0.0
0.9973284720693091,0.0,0.08567219578656171,0.6542116121506636,0.08333333333333333,0.0,-0.08567219578656171,10.0,0.65,1,790,0,6510,1,82.0,0.0,76.0,0.0,31.0,0.4537820816040039,1.5004160404205322,6.5102862759,0.0,1.0,109.0,102.0,1.0,82.0,102.0,102.0,1.5001020431518555,8.364781141281128,9.864883184432983,8.818569183349608,8.0,1.0,0.0,1.0,1.0
0.12389452574425774,5.195540524471866,1.496221583767891,0.492819115332037,0.08333333333333333,0.08567219578656171,3.699318940703975,10.0,0.65,2,790,0,6510,1,76.0,0.0,82.0,0.0,30.0,0.4386100769042969,1.5008049011230467,9.1766548792,0.0,1.0,102.0,102.0,0.0,82.0,102.0,109.0,1.4883329868316648,16.39673709869385,17.88507008552551,16.83535408973694,8.0,2.0,0.0,2.0,2.0
0.10315685319885956,4.737683283823738,2.5457509906549416,0.6030745041714036,0.08333333333333333,-3.699318940703975,2.1919322931687963,10.0,0.65,3,790,0,6510,1,76.0,0.0,82.0,0.0,29.0,0.5030150413513184,1.5008440017700195,9.3791490669,0.0,1.0,109.0,102.0,1.0,76.0,102.0,102.0,1.499502897262573,27.078792095184326,28.578294992446892,27.581813097000122,8.0,3.0,0.0,3.0,3.0
0.14405353583726174,4.020870735647065,2.437874609229388,0.6488661360290834,0.08333333333333333,-2.1919322931687963,1.5829961264176773,10.0,0.65,4,790,0,6510,1,82.0,1.0,82.0,2.0,31.0,0.4431478977203369,1.5007629394531252,8.249659814899998,0.0,0.0,109.0,102.0,0.0,76.0,102.0,109.0,1.4997041225433345,37.97749304771423,39.47719717025757,38.42064619064332,8.0,4.0,0.0,4.0,4.0
0.05194938179650088,3.1830136583157285,2.3027704555979045,0.6138858719512394,0.08333333333333333,-1.5829961264176773,0.8802432027178244,10.0,0.65,5,790,0,6510,1,82.0,1.0,82.0,3.0,34.0,0.4691798686981201,1.5002222061157224,8.1061257643,0.0,0.0,109.0,102.0,0.0,76.0,102.0,109.0,1.500237941741943,47.741963148117065,49.24220108985901,48.21115207672119,8.0,5.0,0.0,-3.0,-3.0
0.052185695793895065,3.146487511254968,2.2610670267050983,0.7051455970231348,0.08333333333333333,-0.8802432027178244,0.8854204845498699,10.0,0.65,6,790,0,6510,1,82.0,1.0,82.0,3.0,37.0,0.40871310234069824,1.500288963317871,6.3517212972,0.0,0.0,109.0,102.0,0.0,76.0,102.0,109.0,1.488499879837036,57.37395715713502,58.862457036972046,57.78267502784728,8.0,6.0,0.0,-2.0,-2.0
0.11425275140785927,3.300902407692882,2.221350214370702,0.7479519175632532,0.08333333333333333,-0.8854204845498699,1.07955219332218,10.0,0.65,7,790,0,6510,1,82.0,1.0,82.0,1.0,38.0,0.4347999095916748,1.500316858291626,6.394658274099998,0.0,0.0,109.0,102.0,0.0,76.0,102.0,109.0,1.4875710010528564,65.23971605300903,66.72728705406189,65.67452311515808,8.0,7.0,0.0,-1.0,-1.0
0.05562744151712469,2.760938982429296,2.1389339676501997,0.6745759697601414,0.08333333333333333,-1.07955219332218,-0.6220050147790954,10.0,0.65,8,790,0,6510,1,82.0,1.0,82.0,3.0,41.0,0.4655170440673828,1.5010619163513186,6.1189629448,1.0,0.0,109.0,109.0,1.0,82.0,109.0,109.0,1.4999668598175049,73.1385531425476,74.63852000236511,73.60407996177675,18.0,0.0,1.0,0.0,0.0
0.5603774804774171,2.9790234446715056,2.1033917057314344,0.7290862727329166,0.08333333333333333,-0.6220050147790954,-0.8756317389400712,10.0,0.65,9,790,0,6510,1,76.0,0.0,82.0,0.0,40.0,0.5308809280395508,1.50085711479187,8.2252081357,0.0,1.0,102.0,109.0,1.0,76.0,109.0,109.0,1.488288164138794,80.78694295883177,82.27523112297057,81.31783008575438,18.0,1.0,1.0,1.0,1.0
0.06790047573315013,0.9548447694274368,1.7652645819326822,0.3519096790746599,0.08333333333333333,-0.8756317389400712,0.8104198125052453,10.0,0.65,10,790,0,6510,1,76.0,1.0,76.0,1.0,41.0,0.4731731414794922,1.5009038448333742,6.3175218564,0.0,0.0,102.0,109.0,0.0,82.0,109.0,102.0,1.498913049697876,90.5195291042328,92.01844215393065,90.99270606040953,18.0,2.0,1.0,2.0,2.0
0.06918974723728412,0.9918610689317292,1.9161236713193899,0.5979501631903804,0.08333333333333333,0.8104198125052453,0.9242626023876609,10.0,0.65,11,790,0,6510,1,82.0,1.0,82.0,4.0,45.0,0.4694559574127197,1.5007481575012207,7.028919837999999,0.0,0.0,102.0,109.0,0.0,76.0,109.0,102.0,1.4882299900054932,98.36803197860716,99.85626196861269,98.83746099472043,18.0,3.0,1.0,3.0,3.0
