trial, subj_id, LR_choice,rt, total_trial_time, iti,id_solution, id_choice_acc, stim_duration, stim_onset, stim_offset, abs_response_time
0.000000000000000000e+00,-1.000000000000000000e+00,7.600000000000000000e+01,4.604730819992255419e-01,1.501039329988998361e+00,1.367428639792565681e+00,7.600000000000000000e+01,1.000000000000000000e+00,1.499984879992553033e+00,3.335181099828332663e-02,1.533336690990836360e+00,4.938305010000476614e-01
1.000000000000000000e+00,-1.000000000000000000e+00,7.600000000000000000e+01,5.553017710044514388e-01,1.500877425991347991e+00,1.385427665640434736e+00,7.600000000000000000e+01,1.000000000000000000e+00,1.499969151002005674e+00,2.966649214999051765e+00,4.466618366001057439e+00,3.521952359995339066e+00
2.000000000000000000e+00,-1.000000000000000000e+00,8.200000000000000000e+01,1.048345597999286838e+00,1.500366856009350158e+00,1.010890016753759113e+00,7.600000000000000000e+01,0.000000000000000000e+00,1.499957334002829157e+00,5.916613028995925561e+00,7.416570362998754717e+00,6.964959628996439278e+00
3.000000000000000000e+00,-1.000000000000000000e+00,7.600000000000000000e+01,3.997907159937312827e-01,1.501045426994096488e+00,1.413022712401856396e+00,7.600000000000000000e+01,1.000000000000000000e+00,1.499960226006805897e+00,8.483231021993560717e+00,9.983191248000366613e+00,8.883022957001230679e+00
4.000000000000000000e+00,-1.000000000000000000e+00,nan,nan,6.299935785995330662e+00,1.436098857608762769e+00,7.600000000000000000e+01,nan,6.299890523994690739e+00,1.144985320999694522e+01,1.774974373399163596e+01,1.264994628299609758e+01
5.000000000000000000e+00,-1.000000000000000000e+00,nan,nan,6.299932442998397164e+00,1.468270138603552599e+00,7.600000000000000000e+01,nan,6.299556459998711944e+00,1.925006867699266877e+01,2.554962513699138071e+01,2.045015353299095295e+01
