trial, subj_id, LR_choice, reward,cumulative_reward, rt, total_trial_time, iti,id_choice, id_solution, id_choice_acc, cum_acc, stim_onset, stim_offset, abs_response_time
0.000000000000000000e+00,8.120000000000000000e+02,nan,0.000000000000000000e+00,4.950000000000000000e+02,nan,6.299909305002074689e+00,1.423257466482166000e+00,nan,1.020000000000000000e+02,nan,nan,3.333993599517270923e-02,6.333224328001961112e+00,1.233435084985103458e+00
1.000000000000000000e+00,8.120000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,4.960000000000000000e+02,9.313438980025239289e-01,1.500562513014301658e+00,1.485864393710980336e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,5.000000000000000000e-01,7.816541911975946277e+00,9.316509950964245945e+00,8.747887544974219054e+00
2.000000000000000000e+00,8.120000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,4.970000000000000000e+02,6.633873609825968742e-01,1.500848144991323352e+00,1.396105323862603109e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,6.666666666666666297e-01,1.086649672797648236e+01,1.236644925497239456e+01,1.152988574898336083e+01
3.000000000000000000e+00,8.120000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,4.980000000000000000e+02,6.438672830117866397e-01,1.500896632962394506e+00,1.037210399092235891e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,7.500000000000000000e-01,1.383311251801205799e+01,1.533309085399378091e+01,1.447698117396794260e+01
4.000000000000000000e+00,8.120000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,4.990000000000000000e+02,5.608807980315759778e-01,1.500788233010098338e+00,1.458700446174061138e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.000000000000000444e-01,1.643306585896061733e+01,1.793303804995957762e+01,1.699394884397042915e+01
5.000000000000000000e+00,8.120000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+02,6.973962210468016565e-01,1.500816018960904330e+00,1.346027908278728757e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.333333333333333703e-01,1.944968259299639612e+01,2.094964888400863856e+01,2.014708028198219836e+01
6.000000000000000000e+00,8.120000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.010000000000000000e+02,6.847271660226397216e-01,1.500798967957962304e+00,1.191047651837553900e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.571428571428570953e-01,2.236629776499466971e+01,2.386625886301044375e+01,2.305102670501219109e+01
7.000000000000000000e+00,8.120000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.020000000000000000e+02,5.458071369794197381e-01,1.500966954044997692e+00,1.117615644571642308e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.750000000000000000e-01,2.511626881296979263e+01,2.661621134798042476e+01,2.566208995098713785e+01
8.000000000000000000e+00,8.120000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,5.030000000000000000e+02,4.806192999822087586e-01,1.501056345994584262e+00,1.399047722172791497e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,8.888888888888888395e-01,2.779956103698350489e+01,2.929950665100477636e+01,2.828018214600160718e+01
9.000000000000000000e+00,8.120000000000000000e+02,7.600000000000000000e+01,1.000000000000000000e+00,5.040000000000000000e+02,7.140374690061435103e-01,1.500714702007826418e+00,1.265746687907160162e+00,1.020000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.000000000000000222e-01,3.076622259797295555e+01,3.226611894997768104e+01,3.148026262898929417e+01
