reward_code,subj_id,condition,trial,epoch_trial,epoch_number,button_press,LR_solution,LR,reward,p_accuracy,rt,trial_end,iti_length,iti_end,stim_onset,session_n,run_n
6.0,813.0,8510.0,0.0,7.0,7.0,0.6939549446105957,76.0,82.0,1.0,0.0,0.678537130355835,1.5040459632873535,6.830602832,8.334648795287354,0.015418052673339844,4,2
6.0,813.0,8510.0,1.0,8.0,7.0,8.875695943832397,82.0,82.0,0.0,1.0,0.5111298561096193,9.853083133697508,6.510286276,16.36336940969751,8.3645601272583,4,2
6.0,813.0,8510.0,2.0,9.0,7.0,16.83345007896423,82.0,76.0,2.0,0.0,0.4525430202484131,17.879603147506714,9.176654879,27.056258026506715,16.38090109825134,4,2
6.0,813.0,8510.0,3.0,0.0,8.0,27.509237051010132,76.0,76.0,3.0,1.0,0.4307060241699219,28.566636085510254,9.379149067,37.945785152510254,27.07853007316589,4,2
6.0,813.0,8510.0,4.0,1.0,8.0,38.48983407020569,76.0,76.0,0.0,1.0,0.512800931930542,39.47648906707764,8.249659814999998,47.72614888207764,37.97702312469482,4,2
6.0,813.0,8510.0,5.0,2.0,8.0,48.434363126754754,82.0,82.0,0.0,1.0,0.6920948028564453,49.24268293380737,8.106125763999998,57.34880869780737,47.74224615097046,4,2
6.0,813.0,8510.0,6.0,3.0,8.0,57.893176078796394,76.0,76.0,0.0,1.0,0.5187878608703613,58.8620331287384,6.351721296999999,65.2137544257384,57.37438511848449,4,2
6.0,813.0,8510.0,7.0,4.0,8.0,65.82072710990906,82.0,76.0,2.0,0.0,0.5802271366119384,66.72793006896973,6.394658274,73.12258834296972,65.24048709869385,4,2
6.0,813.0,8510.0,8.0,5.0,8.0,73.71874713897705,82.0,82.0,0.0,1.0,0.5797209739685059,74.63903999328613,6.118962944999999,80.75800293828613,73.13901710510254,4,2
6.0,813.0,8510.0,9.0,6.0,8.0,81.38328313827513,76.0,76.0,2.0,1.0,0.5956561565399169,82.27537393569946,8.225208136,90.50058207169945,80.78762292861938,4,2
6.0,813.0,8510.0,10.0,7.0,8.0,91.22288203239442,76.0,82.0,4.0,0.0,0.702700138092041,92.01912093162535,6.317521856,98.33664278762535,90.52018094062804,4,2
6.0,813.0,8510.0,11.0,0.0,9.0,98.86305713653566,82.0,76.0,4.0,0.0,0.4950799942016602,99.85678815841673,7.028919837999999,106.88570799641673,98.36797213554384,4,2
