reward_code,subj_id,condition,trial,epoch_trial,epoch_number,LR,onset,session_n,run_n
0.0,860.0,6510.0,0.0,1.0,23.0,76.0,0.6093401908874512,4,5
0.0,860.0,6510.0,1.0,2.0,23.0,82.0,6.857195138931274,4,5
0.0,860.0,6510.0,2.0,3.0,23.0,82.0,12.884021997451782,4,5
0.0,860.0,6510.0,3.0,4.0,23.0,76.0,22.759716987609863,4,5
0.0,860.0,6510.0,4.0,5.0,23.0,82.0,28.958388090133663,4,5
0.0,860.0,6510.0,5.0,6.0,23.0,82.0,39.78819799423217,4,5
0.0,860.0,6510.0,6.0,7.0,23.0,76.0,48.14703822135926,4,5
0.0,860.0,6510.0,7.0,8.0,23.0,82.0,53.921020030975335,4,5
0.0,860.0,6510.0,8.0,9.0,23.0,76.0,60.51168084144593,4,5
0.0,860.0,6510.0,9.0,0.0,24.0,82.0,69.08748006820679,4,5
0.0,860.0,6510.0,10.0,1.0,24.0,76.0,75.3503999710083,4,5
0.0,860.0,6510.0,11.0,2.0,24.0,76.0,82.50931382179259,4,5
0.0,860.0,6510.0,12.0,3.0,24.0,82.0,91.34294390678404,4,5
0.0,860.0,6510.0,13.0,4.0,24.0,82.0,100.74856472015382,4,5
0.0,860.0,6510.0,14.0,5.0,24.0,82.0,109.80631899833679,4,5
0.0,860.0,6510.0,15.0,6.0,24.0,82.0,116.88322305679321,4,5
0.0,860.0,6510.0,16.0,7.0,24.0,,,4,5
0.0,860.0,6510.0,17.0,8.0,24.0,76.0,133.49385595321655,4,5
0.0,860.0,6510.0,18.0,0.0,25.0,76.0,139.8736617565155,4,5
0.0,860.0,6510.0,19.0,1.0,25.0,82.0,146.15049505233762,4,5
0.0,860.0,6510.0,20.0,2.0,25.0,76.0,156.43300104141235,4,5
0.0,860.0,6510.0,21.0,3.0,25.0,82.0,162.53290510177612,4,5
0.0,860.0,6510.0,22.0,4.0,25.0,76.0,177.1876208782196,4,5
0.0,860.0,6510.0,23.0,5.0,25.0,82.0,186.47348403930664,4,5
0.0,860.0,6510.0,24.0,6.0,25.0,82.0,196.65421509742734,4,5
0.0,860.0,6510.0,25.0,7.0,25.0,76.0,203.7580981254578,4,5
0.0,860.0,6510.0,26.0,8.0,25.0,76.0,210.18772292137143,4,5
0.0,860.0,6510.0,27.0,9.0,25.0,76.0,221.3484032154083,4,5
0.0,860.0,6510.0,28.0,10.0,25.0,82.0,233.73003602027893,4,5
0.0,860.0,6510.0,29.0,11.0,25.0,82.0,242.760880947113,4,5
0.0,860.0,6510.0,30.0,12.0,25.0,82.0,250.93078112602234,4,5
0.0,860.0,6510.0,31.0,13.0,25.0,82.0,257.4006819725037,4,5
0.0,860.0,6510.0,32.0,0.0,26.0,76.0,264.10515618324274,4,5
0.0,860.0,6510.0,33.0,1.0,26.0,82.0,274.4892690181732,4,5
0.0,860.0,6510.0,34.0,2.0,26.0,76.0,281.19668507575983,4,5
0.0,860.0,6510.0,35.0,3.0,26.0,82.0,289.84747004508966,4,5
0.0,860.0,6510.0,36.0,4.0,26.0,82.0,299.98461508750916,4,5
0.0,860.0,6510.0,37.0,5.0,26.0,82.0,307.51210713386536,4,5
0.0,860.0,6510.0,38.0,6.0,26.0,82.0,313.9359920024871,4,5
0.0,860.0,6510.0,39.0,7.0,26.0,82.0,322.30896782875067,4,5
0.0,860.0,6510.0,40.0,8.0,26.0,76.0,338.4833228588104,4,5
0.0,860.0,6510.0,41.0,9.0,26.0,82.0,344.41317486763006,4,5
0.0,860.0,6510.0,42.0,10.0,26.0,76.0,356.3556931018829,4,5
0.0,860.0,6510.0,43.0,11.0,26.0,82.0,363.7986249923707,4,5
0.0,860.0,6510.0,44.0,0.0,27.0,76.0,370.1004679203033,4,5
0.0,860.0,6510.0,45.0,1.0,27.0,82.0,376.3893258571624,4,5
0.0,860.0,6510.0,46.0,2.0,27.0,82.0,382.2032029628753,4,5
0.0,860.0,6510.0,47.0,3.0,27.0,82.0,391.0568871498108,4,5
0.0,860.0,6510.0,48.0,4.0,27.0,82.0,398.10076808929443,4,5
0.0,860.0,6510.0,49.0,5.0,27.0,76.0,405.90958476066595,4,5
0.0,860.0,6510.0,50.0,0.0,28.0,76.0,415.61934590339666,4,5
0.0,860.0,6510.0,51.0,1.0,28.0,82.0,422.6271009445191,4,5
0.0,860.0,6510.0,52.0,2.0,28.0,82.0,437.93482613563543,4,5
0.0,860.0,6510.0,53.0,3.0,28.0,76.0,448.59652781486506,4,5
0.0,860.0,6510.0,54.0,4.0,28.0,76.0,457.64211797714233,4,5
0.0,860.0,6510.0,55.0,5.0,28.0,82.0,466.35009694099426,4,5
0.0,860.0,6510.0,56.0,6.0,28.0,76.0,472.57568192481983,4,5
0.0,860.0,6510.0,57.0,7.0,28.0,82.0,480.27674508094776,4,5
0.0,860.0,6510.0,58.0,8.0,28.0,82.0,485.95926594734186,4,5
0.0,860.0,6510.0,59.0,9.0,28.0,,,4,5
