reward_code,subj_id,condition,trial,epoch_trial,epoch_number,LR,onset,session_n,run_n
3.0,860.0,7510.0,0.0,9.0,4.0,76.0,0.5593378543853761,5,2
3.0,860.0,7510.0,1.0,0.0,5.0,82.0,11.883049011230469,5,2
3.0,860.0,7510.0,2.0,1.0,5.0,76.0,19.62188911437988,5,2
3.0,860.0,7510.0,3.0,2.0,5.0,76.0,28.639600038528442,5,2
3.0,860.0,7510.0,4.0,3.0,5.0,76.0,34.3085720539093,5,2
3.0,860.0,7510.0,5.0,4.0,5.0,82.0,42.93530178070069,5,2
3.0,860.0,7510.0,6.0,5.0,5.0,82.0,52.68497586250305,5,2
3.0,860.0,7510.0,7.0,6.0,5.0,82.0,61.831586122512824,5,2
3.0,860.0,7510.0,8.0,0.0,6.0,76.0,73.71830773353577,5,2
3.0,860.0,7510.0,9.0,1.0,6.0,82.0,80.1852958202362,5,2
3.0,860.0,7510.0,10.0,2.0,6.0,76.0,87.17517399787903,5,2
3.0,860.0,7510.0,11.0,3.0,6.0,76.0,99.13651823997498,5,2
3.0,860.0,7510.0,12.0,4.0,6.0,82.0,104.7644348144531,5,2
3.0,860.0,7510.0,13.0,5.0,6.0,82.0,110.58435082435605,5,2
3.0,860.0,7510.0,14.0,6.0,6.0,82.0,118.97011423110959,5,2
3.0,860.0,7510.0,15.0,0.0,7.0,82.0,125.35990715026855,5,2
3.0,860.0,7510.0,16.0,1.0,7.0,76.0,132.79480576515198,5,2
3.0,860.0,7510.0,17.0,2.0,7.0,82.0,148.2143819332123,5,2
3.0,860.0,7510.0,18.0,3.0,7.0,76.0,153.8390500545502,5,2
3.0,860.0,7510.0,19.0,4.0,7.0,76.0,161.48814010620117,5,2
3.0,860.0,7510.0,20.0,5.0,7.0,82.0,168.81175994873044,5,2
3.0,860.0,7510.0,21.0,6.0,7.0,76.0,174.5386838912964,5,2
3.0,860.0,7510.0,22.0,7.0,7.0,82.0,184.69121813774106,5,2
3.0,860.0,7510.0,23.0,8.0,7.0,76.0,196.5389320850372,5,2
3.0,860.0,7510.0,24.0,0.0,8.0,82.0,202.82384729385373,5,2
3.0,860.0,7510.0,25.0,1.0,8.0,76.0,209.08468890190125,5,2
3.0,860.0,7510.0,26.0,2.0,8.0,82.0,215.56153297424314,5,2
3.0,860.0,7510.0,27.0,3.0,8.0,76.0,221.26343917846677,5,2
3.0,860.0,7510.0,28.0,4.0,8.0,76.0,236.9318900108337,5,2
3.0,860.0,7510.0,29.0,5.0,8.0,82.0,245.26372694969177,5,2
3.0,860.0,7510.0,30.0,6.0,8.0,82.0,251.1776101589203,5,2
3.0,860.0,7510.0,31.0,7.0,8.0,76.0,258.0382781028748,5,2
3.0,860.0,7510.0,32.0,8.0,8.0,82.0,269.71487498283386,5,2
3.0,860.0,7510.0,33.0,9.0,8.0,76.0,275.8297519683838,5,2
3.0,860.0,7510.0,34.0,10.0,8.0,82.0,289.21447110176086,5,2
3.0,860.0,7510.0,35.0,0.0,9.0,82.0,295.9075450897217,5,2
3.0,860.0,7510.0,36.0,1.0,9.0,76.0,305.03610086441046,5,2
3.0,860.0,7510.0,37.0,2.0,9.0,82.0,315.3846793174743,5,2
3.0,860.0,7510.0,38.0,3.0,9.0,82.0,323.56949400901794,5,2
3.0,860.0,7510.0,39.0,4.0,9.0,,,5,2
3.0,860.0,7510.0,40.0,5.0,9.0,76.0,338.5295948982239,5,2
3.0,860.0,7510.0,41.0,6.0,9.0,76.0,345.09084391593933,5,2
3.0,860.0,7510.0,42.0,7.0,9.0,82.0,352.007513999939,5,2
3.0,860.0,7510.0,43.0,8.0,9.0,82.0,358.5758922100067,5,2
3.0,860.0,7510.0,44.0,9.0,9.0,82.0,368.6740710735321,5,2
3.0,860.0,7510.0,45.0,0.0,10.0,82.0,385.5654299259185,5,2
3.0,860.0,7510.0,46.0,1.0,10.0,82.0,399.0423109531403,5,2
3.0,860.0,7510.0,47.0,2.0,10.0,76.0,406.67690205574036,5,2
3.0,860.0,7510.0,48.0,3.0,10.0,82.0,414.29278588294983,5,2
3.0,860.0,7510.0,49.0,4.0,10.0,76.0,421.2117059230805,5,2
3.0,860.0,7510.0,50.0,5.0,10.0,76.0,429.97461104393005,5,2
3.0,860.0,7510.0,51.0,6.0,10.0,76.0,437.4082767963409,5,2
3.0,860.0,7510.0,52.0,7.0,10.0,82.0,446.9540092945098,5,2
3.0,860.0,7510.0,53.0,8.0,10.0,76.0,455.9228529930115,5,2
3.0,860.0,7510.0,54.0,9.0,10.0,76.0,462.86777877807623,5,2
3.0,860.0,7510.0,55.0,10.0,10.0,76.0,471.8862450122834,5,2
3.0,860.0,7510.0,56.0,11.0,10.0,76.0,479.47330713272095,5,2
3.0,860.0,7510.0,57.0,12.0,10.0,82.0,486.7510559558868,5,2
3.0,860.0,7510.0,58.0,13.0,10.0,82.0,498.13380694389343,5,2
3.0,860.0,7510.0,59.0,0.0,11.0,76.0,514.0795140266418,5,2
